density,name,color,hardness,luster,streak,color3
1.45,Abelsonite,"red, pinkish",2-2.5,Sub Metallic,,"red, pinkish"
1.96,Vyalsovite,red,-,Sub Metallic,,red
2.16,Graphite,"black, iron",1.5-2,Sub Metallic,black,"black, iron"
2.30,Erdite,"red, copper",2,Metallic,black,"red, copper"
2.51,Cronusite !,"black, coal",1.5,Sub Metallic,black,"black, coal"
2.55,Melanovanadite,black,2.5,Sub Metallic,"brown, dark red",black
2.57,Hydrobiotite,"yellow, golden",2.5-3,Sub Metallic,white,"yellow, golden"
2.58,Oldhamite,"brown, light",4,Sub Metallic,,"brown, light"
2.69,Metavivianite,"green, leek",1.5-2,Sub Metallic,"brown, yellowish","green, leek"
2.70,Schollhornite,gray,1.5-2,Metallic,,gray
2.70,Bariandite,"black, blue",-,Sub Metallic,black,"black, blue"
2.75,Wilhelmramsayite !,"gray, dark lead",2.5,Metallic,,"gray, dark lead"
2.78,Fernandinite,"green, dark",2-3,Sub Metallic,"green, dark","green, dark"
2.82,Patronite,"gray, lead",2,Metallic,black,"gray, lead"
2.88,Coyoteite,black,1.5,Metallic,black,black
2.94,Yushkinite,violet,1,Metallic,"gray, reddish",violet
2.98,Tochilinite,"black, bronze",1-1.5,Metallic,,"black, bronze"
3.00,Birnessite,"brown, dark",1.5,Sub Metallic,,"brown, dark"
3.08,Klyuchevskite,"green, dark",2.5,Sub Metallic,green light,"green, dark"
3.08,Klyuchevskite-Duplicate,green,3.5,Sub Metallic,greenish,green
3.10,Rasvumite,"black, brownish",4-5,Metallic,,"black, brownish"
3.12,Valleriite,bronze,1-1.5,Metallic,,bronze
3.15,Siderazot,"white, silver",-,Metallic,,"white, silver"
3.17,Annite,"brown, reddish",2.5-3,Sub Metallic,"white, brownish","brown, reddish"
3.18,Fluorannite !,"black, iron",3,Sub Metallic,gray,"black, iron"
3.21,Caswellsilverite,"gray, yellow",1-2,Metallic,,"gray, yellow"
3.22,Moissanite,blue,9.5,Metallic,"gray, greenish",blue
3.26,Norrishite,"black, brownish",2.5,Sub Metallic,"brown, light","black, brownish"
3.30,Doloresite,"brown, dark",-,Sub Metallic,"black, greenish","brown, dark"
3.31,Bartonite,"brown, black",3.5,Metallic,black,"brown, black"
3.38,Chaoite,"gray, dark",1-2,Sub Metallic,,"gray, dark"
3.40,Steenstrupine-(Ce),"red, brown",4,Sub Metallic,tan,"red, brown"
3.42,Takanelite,"gray, brownish",2.5-3,Sub Metallic,"black, brown","gray, brownish"
3.46,Hauerite,"gray, blackish",4,Metallic,"brown, reddish","gray, blackish"
3.50,Bannermanite,black,-,Sub Metallic,"black, brownish",black
3.54,Wicksite,"black, bluish",4.5-5,Sub Metallic,green,"black, bluish"
3.55,Jianshuiite,brown,1.5-2,Metallic,brown,brown
3.56,Realgar,"red, aurora",1.5-2,Sub Metallic,orange,"red, aurora"
3.58,Haapalaite,"red, bronze",1,Metallic,,"red, bronze"
3.58,Rhonite,brown,5-6,Sub Metallic,,brown
3.60,Julgoldite-(Fe+++),"black, deep lustrous",4.5,Sub Metallic,,"black, deep lustrous"
3.60,Julgoldite-(Fe++),black,4.5,Sub Metallic,,black
3.65,Chiluite,yellow,3,Sub Metallic,,yellow
3.70,Arseniosiderite,"brown, bronze",1.5,Sub Metallic,ochraceous,"brown, bronze"
3.72,Chlorbartonite !,brown,4,Sub Metallic,black,brown
3.80,Viaeneite !,yellow,3.5-4.5,Metallic,black,yellow
3.80,Stanekite !,black,4-5,Sub Metallic,"brown, dark",black
3.80,Pseudorutile,black,3.5,Sub Metallic,"brown, reddish",black
3.80,Vrbaite,"black, gray",3.5,Metallic,"red, light","black, gray"
3.81,Daubreelite,black,4.5-5,Metallic,"black, brown",black
3.84,Hibonite,black,7.5-8,Metallic,"brown, reddish",black
3.84,Ernienickelite,"black, reddish",2,Sub Metallic,"brown, yellowish","black, reddish"
3.86,Ziesite,black,-,Metallic,"brown, red",black
3.88,Kraisslite,"brown, copper",3-4,Sub Metallic,"brown, golden","brown, copper"
