model = tm.RamanPredictorFCConvTranspose1d(input_size, output_size, ks=ks)
64 filters in model

Val Loss        Train Loss      LR      Optimizer       batch size
0.013555        0.012285        0.003   Adam            64
0.014039        0.012949        0.001   Adam            64
0.014126        0.013220        0.001   NAdam           64
0.014330        0.013433        0.001   Adam            128
0.014354        0.013211        0.001   NAdam           16
0.014561        0.013867        0.0003  RMSprop         16
0.014586        0.013959        0.0003  Adam            16
0.014610        0.013964        0.0003  Adam            32
0.014841        0.014120        0.0003  NAdam           32
0.014870        0.013759        0.003   Adam            16
0.015119        0.014727        0.0001  NAdam           16
0.015513        0.015188        0.0001  Adam            32
0.015570        0.015311        0.0001  Adam            64
0.015603        0.015393        0.0001  RMSprop         16
0.015929        0.015795        0.0001  RMSprop         64
0.016070        0.016084        0.0003  RMSprop         128
0.016192        0.016219        0.0001  NAdam           128
0.016487        0.016532        0.0001  RMSprop         128
0.018401        0.018626        0.01    SGD             32
0.018407        0.018658        0.03    SGD             16
0.018414        0.018650        0.003   SGD             64
0.018416        0.018634        0.003   SGD             32
0.018420        0.018663        0.03    SGD             32
0.018442        0.018654        0.0003  SGD             32
0.018449        0.018653        0.03    SGD             128
0.018457        0.018677        0.01    SGD             64
0.018469        0.018690        0.0003  SGD             64
0.018472        0.018688        0.03    SGD             64
0.018485        0.018713        0.001   SGD             128
0.018492        0.018725        0.0001  SGD             32
0.018508        0.018735        0.0001  SGD             16
0.018540        0.018760        0.0003  SGD             128
0.022157        0.022367        0.001   NAdam           128
0.022166        0.022365        0.0001  RMSprop         32
0.022167        0.022370        0.003   Adam            128
0.022168        0.022362        0.0003  NAdam           128
0.022168        0.022362        0.0001  Adam            16
0.022169        0.022370        0.01    RMSprop         16
0.022169        0.022366        0.01    RMSprop         32
0.022170        0.022362        0.03    NAdam           64
0.022170        0.022362        0.001   NAdam           32
0.022170        0.022370        0.03    NAdam           128
0.022170        0.022371        0.03    Adam            16
0.022170        0.022367        0.001   SGD             64
0.022171        0.022365        0.01    Adam            128
0.022171        0.022368        0.01    SGD             16
0.022171        0.022361        0.01    Adam            32
0.022171        0.022365        0.0003  SGD             16
0.022172        0.022365        0.0001  NAdam           64
0.022172        0.022367        0.03    Adam            128
0.022173        0.022364        0.003   NAdam           16
0.022173        0.022368        0.03    RMSprop         32
0.022173        0.022370        0.003   RMSprop         64
0.022173        0.022369        0.03    Adam            64
0.022173        0.022369        0.0003  Adam            128
0.022173        0.022365        0.0001  NAdam           32
0.022174        0.022369        0.001   Adam            16
0.022174        0.022368        0.001   Adam            32
0.022174        0.022370        0.003   SGD             128
0.022174        0.022368        0.01    NAdam           128
0.022174        0.022369        0.03    RMSprop         16
0.022175        0.022365        0.001   SGD             32
0.022175        0.022371        0.01    Adam            16
0.022175        0.022363        0.001   RMSprop         128
0.022175        0.022362        0.01    RMSprop         64
0.022175        0.022370        0.03    NAdam           16
0.022176        0.022367        0.0003  Adam            64
0.022176        0.022368        0.01    NAdam           16
0.022176        0.022371        0.01    RMSprop         128
0.022176        0.022367        0.001   RMSprop         16
0.022176        0.022368        0.003   NAdam           64
0.022177        0.022367        0.003   RMSprop         32
0.022177        0.022368        0.03    NAdam           32
0.022179        0.022365        0.003   NAdam           32
0.022179        0.022362        0.03    RMSprop         64
0.022179        0.022370        0.01    SGD             128
0.022179        0.022366        0.03    Adam            32
0.022179        0.022365        0.003   RMSprop         16
0.022179        0.022366        0.01    NAdam           32
0.022180        0.022374        0.0003  NAdam           64
0.022180        0.022366        0.0003  RMSprop         64
0.022180        0.022364        0.0001  Adam            128
0.022180        0.022369        0.003   Adam            32
0.022180        0.022366        0.003   SGD             16
0.022180        0.022367        0.0003  NAdam           16
0.022181        0.022373        0.01    Adam            64
0.022182        0.022369        0.003   RMSprop         128
0.022182        0.022367        0.01    NAdam           64
0.022183        0.022366        0.001   RMSprop         64
0.022183        0.022373        0.003   NAdam           128
0.022184        0.022367        0.001   RMSprop         32
0.022186        0.022369        0.03    RMSprop         128
0.022186        0.022367        0.0001  SGD             128
0.022187        0.022371        0.001   SGD             16
0.022187        0.022372        0.0001  SGD             64
0.022200        0.022364        0.0003  RMSprop         32


model = tm.RamanPredictorFCConvTranspose1d(input_size, output_size, ks=ks)
32 filters in model

Val Loss        Train Loss      LR      Optimizer       batch size
0.013358        0.011934        0.003   Adam            16
0.013589        0.011581        0.003   NAdam           64
0.013640        0.012105        0.001   NAdam           16
0.013686        0.012124        0.003   Adam            32
0.013793        0.012307        0.003   NAdam           16
0.013850        0.012393        0.001   NAdam           32
0.014236        0.013465        0.0003  RMSprop         16
0.014375        0.013560        0.001   Adam            32
0.014524        0.013773        0.001   NAdam           64
0.014561        0.013829        0.001   NAdam           128
0.014582        0.013901        0.001   RMSprop         16
0.015067        0.014273        0.001   Adam            64
0.015117        0.014718        0.0003  RMSprop         32
0.015212        0.014820        0.0003  RMSprop         64
0.015217        0.014988        0.0003  NAdam           64
0.015414        0.015200        0.0003  Adam            128
0.015496        0.015007        0.0003  Adam            16
0.015542        0.015423        0.0001  RMSprop         16
0.015838        0.015803        0.0001  RMSprop         32
0.016102        0.016074        0.0001  Adam            64
0.016748        0.016863        0.0001  RMSprop         128
0.017370        0.015695        0.0003  RMSprop         128
0.018408        0.018636        0.03    SGD             16
0.018412        0.018635        0.01    SGD             64
0.018423        0.018653        0.003   SGD             16
0.018427        0.018658        0.01    SGD             128
0.018432        0.018653        0.01    SGD             16
0.018459        0.018683        0.0003  SGD             32
0.018470        0.018682        0.003   SGD             64
0.018474        0.018703        0.001   SGD             64
0.018579        0.018463        0.001   Adam            128
0.018757        0.018985        0.0003  SGD             128
0.018952        0.019181        0.0001  SGD             32
0.019294        0.019525        0.0001  SGD             64
0.022159        0.022363        0.03    RMSprop         16
0.022167        0.022366        0.0001  NAdam           64
0.022168        0.022363        0.0003  NAdam           128
0.022168        0.022358        0.03    Adam            128
0.022168        0.022369        0.01    Adam            32
0.022168        0.022367        0.01    Adam            16
0.022169        0.022367        0.003   Adam            64
0.022169        0.022369        0.03    NAdam           128
0.022169        0.022372        0.001   SGD             128
0.022169        0.022363        0.03    Adam            32
0.022170        0.022367        0.001   RMSprop         128
0.022170        0.022364        0.01    RMSprop         64
0.022170        0.022361        0.01    NAdam           128
0.022170        0.022366        0.03    Adam            64
0.022172        0.022367        0.0003  Adam            32
0.022172        0.022370        0.01    RMSprop         32
0.022172        0.022364        0.0001  Adam            32
0.022172        0.022366        0.0001  NAdam           128
0.022172        0.022364        0.001   RMSprop         32
0.022173        0.022368        0.01    RMSprop         16
0.022173        0.022371        0.003   SGD             32
0.022174        0.022372        0.01    NAdam           32
0.022174        0.022367        0.01    RMSprop         128
0.022174        0.022367        0.003   RMSprop         32
0.022175        0.022366        0.01    NAdam           64
0.022175        0.022369        0.03    RMSprop         128
0.022175        0.022369        0.0001  Adam            16
0.022175        0.022367        0.0001  SGD             128
0.022176        0.022363        0.0001  NAdam           16
0.022177        0.022360        0.0003  NAdam           32
0.022177        0.022366        0.03    NAdam           32
0.022177        0.022370        0.03    SGD             64
0.022178        0.022367        0.0001  Adam            128
0.022178        0.022362        0.001   SGD             32
0.022178        0.022367        0.03    RMSprop         64
0.022178        0.022374        0.001   SGD             16
0.022178        0.022371        0.03    Adam            16
0.022178        0.022365        0.0003  SGD             64
0.022178        0.022365        0.003   NAdam           32
0.022179        0.022374        0.01    Adam            64
0.022179        0.022370        0.03    NAdam           16
0.022179        0.022367        0.003   RMSprop         64
0.022179        0.022369        0.0003  NAdam           16
0.022179        0.022366        0.001   RMSprop         64
0.022179        0.022361        0.003   Adam            128
0.022180        0.022366        0.003   NAdam           128
0.022180        0.022366        0.0003  SGD             16
0.022180        0.022366        0.001   Adam            16
0.022180        0.022366        0.0003  Adam            64
0.022180        0.022360        0.03    RMSprop         32
0.022181        0.022366        0.03    NAdam           64
0.022181        0.022361        0.01    Adam            128
0.022182        0.022370        0.003   RMSprop         16
0.022182        0.022364        0.003   SGD             128
0.022182        0.022373        0.03    SGD             128
0.022183        0.022371        0.003   RMSprop         128
0.022184        0.022373        0.01    SGD             32
0.022184        0.022366        0.03    SGD             32
0.022188        0.022369        0.0001  SGD             16
0.022189        0.022371        0.0001  RMSprop         64
0.022190        0.022368        0.01    NAdam           16
0.022191        0.022365        0.0001  NAdam           32
