model = tm.RamanPredictorFCN(input_size, output_size, ks=3)

Val Loss        Train Loss      LR      Optimizer       batch size
0.012353        0.009842        0.001   NAdam           32
0.012601        0.010134        0.001   Adam            16
0.012718        0.010804        0.001   RMSprop         16
0.012751        0.011026        0.001   Adam            32
0.012786        0.009950        0.003   NAdam           64
0.012823        0.009777        0.001   NAdam           16
0.012943        0.010984        0.001   NAdam           64
0.013113        0.010823        0.003   NAdam           32
0.013128        0.011922        0.001   RMSprop         32
0.013130        0.012062        0.001   Adam            64
0.013229        0.011511        0.003   RMSprop         64
0.013280        0.011854        0.003   RMSprop         16
0.013393        0.011875        0.003   RMSprop         32
0.013407        0.012575        0.0003  NAdam           16
0.013531        0.012587        0.001   RMSprop         64
0.013619        0.012124        0.003   NAdam           16
0.013698        0.012365        0.003   Adam            64
0.013761        0.012829        0.0003  Adam            16
0.013795        0.013096        0.0003  RMSprop         16
0.013957        0.013180        0.003   Adam            32
0.014351        0.013827        0.0003  NAdam           32
0.014509        0.013939        0.0003  RMSprop         32
0.014546        0.014097        0.0003  Adam            32
0.015171        0.014992        0.0003  RMSprop         64
0.015332        0.015043        0.0003  Adam            64
0.015375        0.015210        0.0003  NAdam           64
0.017782        0.018022        0.003   Adam            16
0.021388        0.021592        0.003   SGD             16
0.021792        0.021987        0.003   SGD             32
0.022041        0.022240        0.001   SGD             16
0.022118        0.022315        0.003   SGD             64
0.022220        0.022413        0.0003  SGD             16
0.022285        0.022463        0.001   SGD             64
0.022301        0.022484        0.001   SGD             32
0.022450        0.022634        0.0003  SGD             64
0.022522        0.022721        0.0003  SGD             32
